protocol,length,src_port,dst_port,anomaly
5,60,40230.0,10629.0,0
5,60,40230.0,2000.0,0
5,60,40230.0,8009.0,0
5,60,40230.0,1081.0,0
5,60,40230.0,70.0,0
5,60,40230.0,3005.0,0
5,60,40230.0,32768.0,0
5,60,40230.0,992.0,0
5,60,40230.0,50002.0,1
5,60,40230.0,7019.0,0
5,60,40232.0,7777.0,0
5,60,40232.0,5009.0,0
5,60,40232.0,45100.0,1
5,60,40232.0,7001.0,0
5,60,40232.0,8180.0,0
5,60,40232.0,70.0,0
5,60,40232.0,1081.0,0
5,60,40232.0,8009.0,0
5,60,40232.0,2000.0,0
5,60,40232.0,10629.0,0
5,60,40232.0,15003.0,0
5,60,40232.0,1055.0,0
5,60,40232.0,7402.0,0
5,60,40232.0,7019.0,0
5,60,40232.0,50002.0,1
5,60,40232.0,992.0,0
5,60,40232.0,32768.0,0
5,60,40232.0,3005.0,0
5,60,40230.0,9111.0,0
5,60,40230.0,82.0,0
5,60,40230.0,7778.0,0
5,60,40230.0,2035.0,0
5,60,40230.0,2522.0,0
5,60,40230.0,5510.0,0
5,60,40230.0,1075.0,0
5,60,40230.0,44501.0,1
5,60,40230.0,6003.0,0
5,60,40230.0,301.0,0
5,60,40230.0,5060.0,0
5,60,40230.0,548.0,0
5,60,40230.0,4125.0,0
5,60,40230.0,1149.0,0
5,60,40230.0,3914.0,0
5,60,40230.0,5859.0,0
5,60,40230.0,44176.0,1
5,60,40230.0,65000.0,1
5,60,40232.0,9111.0,0
5,60,40232.0,7778.0,0
5,60,40232.0,82.0,0
5,60,40232.0,2522.0,0
5,60,40232.0,2035.0,0
5,60,40232.0,1075.0,0
5,60,40232.0,5510.0,0
5,60,40232.0,4125.0,0
5,60,40232.0,548.0,0
5,60,40232.0,5060.0,0
5,60,40232.0,301.0,0
5,60,40232.0,6003.0,0
5,60,40232.0,44501.0,1
5,60,40232.0,65000.0,1
5,60,40232.0,44176.0,1
5,60,40232.0,5859.0,0
5,60,40232.0,3914.0,0
5,60,40232.0,1149.0,0
5,60,40230.0,1277.0,0
5,60,40230.0,146.0,0
5,60,40230.0,311.0,0
5,60,40230.0,1040.0,0
5,60,40230.0,12265.0,0
5,60,40230.0,1062.0,0
5,60,40230.0,10002.0,0
5,60,40230.0,6112.0,0
5,60,40230.0,212.0,0
5,60,40230.0,5440.0,0
5,60,40230.0,15002.0,0
5,60,40230.0,2049.0,0
5,60,40230.0,2251.0,0
5,60,40230.0,1076.0,0
5,60,40230.0,2725.0,0
5,60,40230.0,8652.0,0
5,60,40230.0,280.0,0
5,60,40230.0,6689.0,0
5,60,40232.0,1277.0,0
5,60,40232.0,146.0,0
5,60,40232.0,311.0,0
5,60,40232.0,12265.0,0
5,60,40232.0,1040.0,0
5,60,40232.0,1062.0,0
5,60,40232.0,10002.0,0
5,60,40232.0,6689.0,0
5,60,40232.0,280.0,0
5,60,40232.0,8652.0,0
5,60,40232.0,2725.0,0
5,60,40232.0,1076.0,0
5,60,40232.0,2251.0,0
5,60,40232.0,2049.0,0
5,60,40232.0,15002.0,0
5,60,40232.0,5440.0,0
5,60,40232.0,212.0,0
5,60,40232.0,6112.0,0
5,60,40230.0,808.0,0
5,60,40230.0,1023.0,0
5,60,40230.0,1046.0,0
5,60,40230.0,1500.0,0
5,60,40230.0,1000.0,0
5,60,40230.0,801.0,0
5,60,40230.0,1271.0,0
5,60,40230.0,32769.0,0
5,60,40230.0,10012.0,0
5,60,40230.0,10025.0,0
5,60,40230.0,8200.0,0
5,60,40230.0,1658.0,0
5,60,40230.0,50500.0,1
5,60,40230.0,60020.0,1
5,60,40230.0,5825.0,0
5,60,40230.0,4000.0,0
5,60,40230.0,1233.0,0
5,60,40230.0,4900.0,0
5,60,40232.0,808.0,0
5,60,40232.0,1023.0,0
5,60,40232.0,1046.0,0
5,60,40232.0,1500.0,0
5,60,40232.0,1271.0,0
5,60,40232.0,801.0,0
5,60,40232.0,1000.0,0
5,60,40232.0,32769.0,0
5,60,40232.0,10012.0,0
5,60,40232.0,4900.0,0
5,60,40232.0,1233.0,0
5,60,40232.0,4000.0,0
5,60,40232.0,5825.0,0
5,60,40232.0,60020.0,1
5,60,40232.0,50500.0,1
5,60,40232.0,1658.0,0
5,60,40232.0,8200.0,0
5,60,40232.0,10025.0,0
5,60,40230.0,2602.0,0
5,60,40230.0,1107.0,0
5,60,40230.0,5810.0,0
5,60,40230.0,2800.0,0
5,60,40230.0,10000.0,0
5,60,40230.0,3905.0,0
5,60,40230.0,2103.0,0
5,60,40230.0,16113.0,0
5,60,40230.0,1300.0,0
5,60,40230.0,9200.0,0
5,60,40230.0,1137.0,0
5,60,40230.0,4002.0,0
5,60,40230.0,687.0,0
5,60,40230.0,1110.0,0
5,60,40230.0,465.0,0
5,60,40230.0,2004.0,0
5,60,40230.0,8045.0,0
5,60,40230.0,9898.0,0
5,60,40232.0,2602.0,0
5,60,40232.0,1107.0,0
5,60,40232.0,5810.0,0
5,60,40232.0,2800.0,0
5,60,40232.0,2103.0,0
5,60,40232.0,3905.0,0
5,60,40232.0,10000.0,0
5,60,40232.0,16113.0,0
5,60,40232.0,1300.0,0
5,60,40232.0,9200.0,0
5,60,40232.0,9898.0,0
5,60,40232.0,8045.0,0
5,60,40232.0,2004.0,0
5,60,40232.0,465.0,0
5,60,40232.0,1110.0,0
5,60,40232.0,687.0,0
5,60,40232.0,4002.0,0
5,60,40232.0,1137.0,0
5,60,40230.0,5030.0,0
5,60,40230.0,3703.0,0
