time,src_ip,dst_ip,protocol,length,src_port,dst_port,label
1774124084.911810500,192.168.159.130,192.168.159.128,TCP,60,40230,8800,1
1774124084.911834100,192.168.159.130,192.168.159.128,TCP,60,40230,515,1
1774124084.914032700,192.168.159.130,192.168.159.128,TCP,60,40232,1600,1
1774124084.914081900,192.168.159.130,192.168.159.128,TCP,60,40230,2869,1
1774124084.914123500,192.168.159.130,192.168.159.128,TCP,60,40230,9968,1
1774124084.914148100,192.168.159.130,192.168.159.128,TCP,60,40230,1433,1
1774124084.914168700,192.168.159.130,192.168.159.128,TCP,60,40230,5120,1
1774124084.914185800,192.168.159.130,192.168.159.128,TCP,60,40230,41511,1
1774124084.914205900,192.168.159.130,192.168.159.128,TCP,60,40230,3369,1
1774124084.914226700,192.168.159.130,192.168.159.128,TCP,60,40230,8021,1
1774124084.914249800,192.168.159.130,192.168.159.128,TCP,60,40230,1216,1
1774124084.914271900,192.168.159.130,192.168.159.128,TCP,60,40230,49400,1
1774124084.916411400,192.168.159.130,192.168.159.128,TCP,60,40232,2010,1
1774124084.919891500,192.168.159.130,192.168.159.128,TCP,60,40232,4662,1
1774124084.919942600,192.168.159.130,192.168.159.128,TCP,60,40232,3493,1
1774124084.922557500,192.168.159.130,192.168.159.128,TCP,60,40232,3580,1
1774124084.924768000,192.168.159.130,192.168.159.128,TCP,60,40232,49160,1
1774124084.927013400,192.168.159.130,192.168.159.128,TCP,60,40232,9080,1
1774124084.929301100,192.168.159.130,192.168.159.128,TCP,60,40232,7435,1
1774124084.931525300,192.168.159.130,192.168.159.128,TCP,60,40232,17988,1
1774124084.931577300,192.168.159.130,192.168.159.128,TCP,60,40232,5998,1
1774124084.933824800,192.168.159.130,192.168.159.128,TCP,60,40232,5054,1
1774124084.934007500,192.168.159.130,192.168.159.128,TCP,60,40232,1130,1
1774124084.934035600,192.168.159.130,192.168.159.128,TCP,60,40232,49,1
